title,price,review_count,review_avg
"
HP OMEN 15-DC1001NS Intel Core i7-8750H/16GB/1TB+256GB SSD/RTX 2070/15.6""
",1499.0,23,4.3
"
Medion Akoya S6445 Intel Core i7-8565U/8GB/256GB SSD/15.6""
",599.0,11,4.5
"
Acer Swift 3 SF314-56-574K Intel Core i5-8250U/8GB/256GB SSD/14""
",599.0,3,4.0
"
MSI GL73 8SD-044ES Intel Core i7-8750H/16GB/1TB+512GB SSD/GTX1660Ti/17.3""
",1399.0,7,4.7
"
Lenovo Ideapad 330-15IKB Intel Core i3-7020U/8GB/256GB SSD/15.6""
",419.0,2,5.0
"
Portátil MSI GS73 Stealth 8RE-007XES Intel Core i7-8750H/16GB/1TB+256SSD/GTX1060/17.3""
",1299.0,22,4.5
"
HP OMEN 15-DC1000NS Intel Core i7-8750H/16GB/1TB+256GB SSD/RTX 2060/15.6""
",1349.0,61,4.1
"
Medion P6685 Intel Core i7-8550U/8GB/1TB+128 GB SSD/MX 150/15.6""
",849.0,14,4.6
"
HP OMEN 15-DC0019NS Intel Core i7-8750H/8GB/1TB+128GB SSD/GTX 1050/15.6""
",799.0,2,4.0
"
HP Pavilion 14-CE0014NS Intel Core i7-8550U/8GB/256GB SSD/MX150/14""
",769.0,7,4.3
"
Acer Aspire 1 A114-32-C4NH Intel Celeron N4000/4GB/64GB eMMC/14""
",199.0,1,3.0
"
Lenovo Ideapad 330-17ICH Intel Core i7-8750H/8GB/1TB/GTX1050/17.3""
",1099.0,10,4.3
"
MSI GP63 Leopard 8RE-665XES Intel Core i7-8750H/16GB/1TB+256SSD/GTX 1060/15.6""
",1149.0,10,4.8
"
Toshiba Satellite Pro R50-C-1FT Intel Celeron 3855U/4GB/500GB/15.6""
",299.0,4,4.5
"
HP Pavilion 15-BC410NS Intel Core i7-8750H/8GB/1TB+128GB SSD/GTX 1050Ti/15.6""
",859.0,20,4.2
"
MSI PS42 Modern 8MO-024XES Intel Core i7-8565U/16GB/512GB SSD/14""
",949.0,7,4.6
"
HP NoteBook 15-DB0055NS AMD A4-9125/4GB/128GB SSD/15.6""
",245.0,8,4.1
"
MSI GF75 Thin 9SC-039XES Intel Core i7-9750H/16GB/512SSD/GTX1650/17.3""
",1199.0,14,4.6
"
MSI GS75 Stealth 8SE-066ES Intel Core i7-8750H/16GB/512GB SSD/RTX 2060/17.3""
",1699.0,6,4.3
"
MSI GE75 Raider 8RE-066XES Intel Core i7-8750H/16GB/512GB SSD/GTX1060/17.3""
",1299.0,8,4.9
"
Asus Rog Strix G531GW-AL023T Intel Core i7-9750H/16GB/512GB SSD/RTX2070/15.6""
",1599.0,12,4.8
"
Lenovo Ideapad 330-15ICH Intel Core i5-8300H/8GB/1TB/GTX1050/15.6""
",799.0,36,4.2
"
MSI GE63 Raider RGB 8SE-032ES Intel Core i7-8750H/16GB/1TB + 256GB SSD/RTX 2060/15.6""
",1499.0,9,4.2
"
HP NoteBook 15-DA1007NS Intel Core i7-8565U/12GB/256GB SSD/MX130/15.6""
",699.0,14,4.4
"
MSI GP73 Leopard 8RD-419XES Intel Core i7-8750H/16GB/1TB+256GB SSD/GTX 1050Ti/17.3""
",1049.0,9,4.4
"
MSI GF63 8RC-457XES Intel Core i7-8750H/8GB/512GB SSD/GTX 1050/15.6""
",899.0,24,4.0
"
Asus K540UB-GQ065T Intel Core i3-6006U/8GB/1TB/MX110/15.6""
",459.0,1,4.0
"
Lenovo Ideapad 530S-14IKB Intel Core i5-8250U/8GB/256GB SSD/14"" Gris
",799.0,10,4.5
"
MSI GE63 Raider RGB 8SE-033XES Intel Core i7-8750H/16GB/1TB + 512GB SSD/RTX 2060/15.6""
",1916.0,15,4.8
"
HP Pavilion x360 14-CD0011NS Intel Core i5-8250U/12GB/256GB SSD/MX130/14"" Táctil
",759.0,5,4.6
"
MSI GS73 8RD-007ES Stealth Intel Core i7-8750H/16GB/1TB+256GB SSD/GTX1050Ti/17.3""
",1249.0,8,4.8
"
MSI GP75 Leopard 9SD-451XES Intel Core i7-9750H/16GB/1TB SSD/GTX 1660Ti/17.3""
",1649.0,3,5.0
"
Lenovo Yoga 530-14ARR AMD Ryzen 5 2500U/8GB/256GB SSD/14"" Táctil
",699.0,12,3.8
"
MSI PS63 Modern 8SC-045ES Intel Core i7-8565U/32GB/1TB SSD/GTX 1650/15.6""
",1799.0,4,4.0
"
Acer Swift 5 SF514-52T-54QZ Intel Core i5-8250U/8GB/256GB SSD/14"" Táctil
",999.0,21,4.7
"
MSI GL73 8SD-046XES Intel Core i7-8750H/16GB/512GB SSD/GTX1660Ti/17.3""
",1249.0,6,4.8
"
HP NoteBook 15-DB0154NS Intel Celeron N4000/8GB/128GB SSD/15.6""
",349.0,3,4.3
"
HP OMEN 15-DC0014NS Intel Core i7-8750H/16GB/1TB+256GB SSD/GTX 1050/15.6""
",909.0,73,4.3
"
MSI PS63 Modern 8M-071ES Intel Core i7-8565U/16GB/512GB SSD/15.6""
",1249.0,4,4.5
"
Medion P6685 Intel Core i7-8550U/8GB/1TB+128GB SSD/MX150/15.6""
",599.0,12,4.6
"
HP OMEN 15-DC0017NS Intel Core i7-8750H/8GB/1TB+256GB SSD/GTX 1050/15.6""
",849.0,35,4.7
"
Asus ZenBook UX533FD-A8107T Intel Core i7-8565U/16GB/512GB SSD/GTX1050/15.6""
",1449.0,5,5.0
"
Apple MacBook Air Intel Core i5/8GB/128GB SSD/13.3"" Oro
",1119.0,1,5.0
"
Apple MacBook Pro Intel Core i5 1.4GHz/8GB/128GB SSD/13.3"" Gris Espacial
",1349.0,1,5.0
"
Gigabyte Aero 15-X9-7ES0310P Intel Core i7-8750H/16GB/1TB SSD/RTX2070Q/15.6""
",1999.0,12,4.5
"
LG Gram 15Z990-V.AA75B Intel Core i7-8565U/8GB/512GB SSD/15.6""
",1139.0,1,5.0
"
Acer Aspire 7 A717-72G-53Z5 Intel Core i5-8300H/8GB/1TB/GTX1050/17.3""
",599.0,1,3.0
